105,P.V.C Piniom,Pcs,0,,,,0,,,,,,,,,,,,
106,Bobin Disk,Pcs,0,,,,0,,,,,,,,,,,,
107,Separator Nut,Pcs,0,,,,0,,,,,,,,,,,,
108,Separator Holder,Pcs,0,,,,0,,,,,,,,,,,,
109,Shaft,Pcs,0,,,,0,,,,,,,,,,,,
110,M.S Bush,Pcs,0,,,,0,,,,,,,,,,,,
111,Pusher Roller Cap Steel,Pcs,0,,,,0,,,,,,,,,,,,
112,Shuttle Nose,Pcs,0,,,,0,,,,,,,,,,,,
113,Cap,Pcs,0,,,,0,,,,,,,,,,,,
114,Synthetic Flexible Pipe,Pcs,0,,,,0,,,,,,,,,,,,
115,Deflecting Bolt,Pcs,0,,,,0,,,,,,,,,,,,
116,Big P.V.C Clamp,Pcs,0,,,,0,,,,,,,,,,,,
117,Bearing Block Back P.V.C,Pcs,0,,,,0,,,,,,,,,,,,
118,Bearing Block Floating P.V.C,Pcs,0,,,,0,,,,,,,,,,,,
119,Axle Bolt,Pcs,0,,,,0,,,,,,,,,,,,
120,Spring All,Pcs,0,,,,0,,,,,,,,,,,,
121,Ring Hose pipe / Hose pipe ,Pcs,0,,,,0,,,,,,,,,,,,
122,Excenter Bolt,Pcs,0,,,,0,,,,,,,,,,,,
123,Plastic Shuttle Body,Pcs,0,,,,0,,,,,,,,,,,,
124,Simta Joining Press,Pcs,0,,,,0,,,,,,,,,,,,
125,Boom Holder Steel,Pcs,0,,,,0,,,,,,,,,,,,
126,Axle,Pcs,0,,,,0,,,,,,,,,,,,
127,Bearing Block Front,Pcs,0,,,,0,,,,,,,,,,,,
128,Stopper Wheel,Pcs,0,,,,0,,,,,,,,,,,,
129,Spring Strecher,Pcs,0,,,,0,,,,,,,,,,,,
130,Weft Guide,Pcs,0,,,,0,,,,,,,,,,,,
131,Tention Bolt,Pcs,0,,,,0,,,,,,,,,,,,
132,Ecemtic Bolt,Pcs,0,,,,0,,,,,,,,,,,,
133,Bobin Holder Big,Pcs,0,,,,0,,,,,,,,,,,,
134,Bobin Holder Small,Pcs,0,,,,0,,,,,,,,,,,,
135,Ceramic Bush,Pcs,0,,,,0,,,,,,,,,,,,
136,Dowel Pin ,Pcs,0,,,,0,,,,,,,,,,,,
137,Connecting Strip,Pcs,0,,,,0,,,,,,,,,,,,
138,Connecting Plate BIG,Pcs,0,,,,0,,,,,,,,,,,,
139,P.V.C Clamp,Pcs,0,,,,0,,,,,,,,,,,,
140,Bearing Cover,Pcs,0,,,,0,,,,,,,,,,,,
141,P.V.C Bearing,Pcs,0,,,,0,,,,,,,,,,,,
142,Adjusting Ring P.V.C,Pcs,0,,,,0,,,,,,,,,,,,
